team,n,attack_finish,attack_shrunk,def_suppress,def_shrunk,gk_prevented_per_match
NEC Nijmegen,98,1.237,1.07,0.908,0.988,0.185
Moreirense,97,1.188,1.055,1.071,1.01,0.078
Estoril Praia,96,1.184,1.054,0.943,0.992,0.041
Sporting CP,95,1.18,1.053,0.999,1.0,0.035
Trabzonspor,83,1.173,1.051,0.826,0.976,0.168
SC Verl,93,1.17,1.05,1.087,1.012,-0.176
FC Thun,35,1.165,1.049,0.718,0.962,0.338
PSV Eindhoven,97,1.159,1.047,0.978,0.997,0.007
Wrexham,38,1.158,1.046,0.958,0.994,-0.035
Rotherham United,38,1.152,1.045,1.159,1.022,-0.019
Catanzaro,38,1.151,1.044,0.927,0.99,-0.064
Servette FC,35,1.138,1.041,1.259,1.035,-0.155
FC Bayern München,133,1.136,1.04,1.089,1.012,0.018
Salernitana,76,1.137,1.04,0.944,0.992,-0.087
Bayer 04 Leverkusen,135,1.129,1.038,0.955,0.994,0.035
Karlsruher SC,33,1.124,1.037,1.033,1.004,-0.039
Sivasspor,60,1.121,1.036,0.984,0.998,0.102
Kasımpaşa,85,1.118,1.035,1.064,1.009,-0.1
Plymouth Argyle,75,1.118,1.035,0.991,0.999,0.176
BSC Young Boys,35,1.109,1.032,0.984,0.998,-0.076
Willem II Tilburg,34,1.102,1.03,0.874,0.983,0.286
Casa Pia,97,1.095,1.028,0.991,0.999,0.064
Leicester City,152,1.091,1.027,0.991,0.999,-0.024
Wolfsberger AC,30,1.093,1.027,0.797,0.973,0.113
Eintracht Frankfurt,135,1.09,1.026,1.051,1.007,-0.061
Inter,150,1.085,1.025,0.896,0.986,0.029
US Avellino 1912,38,1.083,1.025,1.036,1.005,0.085
SpVgg Greuther Fürth,32,1.083,1.024,1.114,1.015,-0.304
Tottenham Hotspur,149,1.077,1.023,0.999,1.0,-0.021
Bologna,149,1.08,1.023,0.972,0.996,0.007
Fenerbahçe,83,1.078,1.023,1.122,1.016,-0.023
Borussia Dortmund,135,1.075,1.022,0.903,0.987,0.11
Cardiff City,76,1.072,1.021,0.975,0.997,-0.033
TSV Havelse,36,1.07,1.021,1.1,1.014,-0.114
Napoli,34,1.072,1.021,0.96,0.995,-0.071
Rot-Weiss Essen,95,1.07,1.021,0.862,0.981,0.101
Adana Demirspor,56,1.068,1.02,1.085,1.011,0.063
FC Utrecht,98,1.068,1.02,0.92,0.989,0.086
TSG Hoffenheim,135,1.069,1.02,1.065,1.009,-0.008
Arsenal,149,1.065,1.019,0.959,0.994,-0.022
Norwich City,114,1.066,1.019,0.986,0.998,-0.062
Lorient,104,1.063,1.019,1.008,1.001,-0.022
Pescara,37,1.065,1.019,0.931,0.991,0.08
FC Porto,96,1.06,1.018,0.792,0.972,0.088
Leganés,38,1.061,1.018,0.84,0.978,0.223
AFC Ajax,98,1.057,1.017,0.953,0.994,0.099
Holstein Kiel,66,1.058,1.017,1.071,1.01,-0.06
FC Arouca,97,1.056,1.016,1.031,1.004,-0.045
Manchester City,149,1.055,1.016,0.849,0.98,0.111
Roma,34,1.051,1.015,0.76,0.968,0.14
Atalanta,149,1.049,1.015,0.922,0.989,0.066
Portimonense SAD,31,1.051,1.015,1.152,1.021,0.003
Villarreal,148,1.047,1.014,0.935,0.991,0.013
Troyes,38,1.047,1.014,0.97,0.996,-0.169
Frosinone,76,1.044,1.013,0.882,0.984,-0.008
Paris Saint-Germain,137,1.045,1.013,0.888,0.985,0.082
Hull City,114,1.043,1.013,0.964,0.995,-0.088
FC Augsburg,135,1.044,1.013,0.965,0.995,0.041
FC Ingolstadt 04,101,1.039,1.012,0.907,0.987,-0.018
Preston North End,114,1.039,1.012,0.933,0.991,0.031
VfB Stuttgart,135,1.039,1.012,1.026,1.004,-0.02
Antalyaspor,84,1.042,1.012,1.001,1.0,0.011
Go Ahead Eagles,98,1.042,1.012,0.863,0.981,0.074
Real Madrid,148,1.039,1.011,0.776,0.97,0.089
Başakşehir FK,83,1.034,1.01,0.922,0.989,-0.002
Atlético Madrid,149,1.033,1.01,0.867,0.982,0.015
MSV Duisburg,54,1.03,1.009,0.979,0.997,-0.11
PEC Zwolle,98,1.032,1.009,1.0,1.0,0.049
Fulham,150,1.03,1.009,0.865,0.982,0.043
RB Leipzig,135,1.032,1.009,0.897,0.986,0.002
Erzgebirge Aue,89,1.027,1.008,0.987,0.998,-0.044
Livingston,35,1.026,1.008,0.964,0.995,-0.105
Heart of Midlothian,35,1.026,1.008,0.792,0.972,0.107
Ipswich Town,115,1.027,1.008,1.043,1.006,-0.012
1. FC Union Berlin,133,1.028,1.008,1.033,1.004,-0.035
Nottingham Forest,149,1.027,1.008,1.0,1.0,-0.119
Derby County,76,1.023,1.007,1.023,1.003,0.098
Como,73,1.023,1.007,1.022,1.003,-0.051
SV Zulte Waregem,35,1.023,1.007,0.877,0.983,0.272
Genoa,111,1.02,1.006,0.965,0.995,0.057
Feyenoord,98,1.021,1.006,1.082,1.011,0.015
VfL Wolfsburg,135,1.019,1.006,1.03,1.004,0.013
Paris FC,32,1.022,1.006,0.873,0.983,-0.102
Aston Villa,149,1.019,1.006,0.876,0.983,0.087
SV Sandhausen,54,1.016,1.005,0.999,1.0,-0.161
Stade Rennais,138,1.018,1.005,0.957,0.994,-0.062
Stade Brestois,137,1.018,1.005,0.933,0.991,-0.025
TSV Hartberg,30,1.018,1.005,0.713,0.961,0.222
