team,n,dominance,xg_against,own_conv,conc_conv,net_dom
PSV Eindhoven,97,2.49,0.969,1.159,0.978,1.521
FC Bayern München,133,2.364,0.932,1.136,1.089,1.431
FC Barcelona,147,2.112,1.015,0.992,0.798,1.097
Paris Saint-Germain,137,2.089,1.003,1.045,0.888,1.086
Celtic,35,2.075,0.838,0.812,0.989,1.238
Feyenoord,98,2.069,0.934,1.021,1.082,1.135
Liverpool FC,116,2.015,1.168,0.946,0.9,0.847
Benfica,97,1.981,0.775,0.999,0.891,1.206
Sporting CP,95,1.98,0.664,1.18,0.999,1.316
Club Brugge KV,109,1.976,1.029,0.961,0.954,0.947
Fenerbahçe,83,1.945,0.752,1.078,1.122,1.194
Galatasaray,82,1.943,0.896,0.998,0.735,1.047
Manchester City,149,1.863,1.004,1.055,0.849,0.86
Rangers,35,1.816,1.044,0.991,0.958,0.772
Borussia Dortmund,135,1.798,1.255,1.075,0.903,0.543
Real Madrid,148,1.775,1.001,1.039,0.776,0.774
Arsenal,149,1.732,0.833,1.065,0.959,0.9
Inter,150,1.732,0.848,1.085,0.896,0.884
AFC Ajax,98,1.728,1.264,1.057,0.953,0.464
Energie Cottbus,75,1.721,1.463,0.914,0.857,0.257
FC Thun,35,1.717,1.352,1.165,0.718,0.365
RB Leipzig,135,1.708,1.255,1.032,0.897,0.454
KRC Genk,109,1.701,1.125,0.841,0.946,0.576
Newcastle United,149,1.686,1.236,0.935,0.934,0.45
Bayer 04 Leverkusen,135,1.685,1.063,1.129,0.955,0.622
AS Monaco,138,1.68,1.223,0.984,0.978,0.457
FC Luzern,35,1.677,1.228,0.988,1.233,0.449
VfB Stuttgart,135,1.675,1.241,1.039,1.026,0.434
AZ Alkmaar,98,1.662,1.068,0.995,1.023,0.594
Royale Union Saint-Gilloise,109,1.643,0.855,0.938,0.826,0.788
FC Twente,98,1.632,1.094,0.963,0.97,0.538
Olympique de Marseille,138,1.628,1.131,0.961,0.948,0.498
FC St. Gallen 1879,35,1.615,1.459,0.99,0.744,0.157
SG Dynamo Dresden,88,1.614,1.266,0.915,0.88,0.348
RC Lens,138,1.603,1.183,0.864,0.711,0.42
1. FC Saarbrücken,91,1.592,1.355,0.842,0.86,0.237
Coventry City,114,1.589,1.088,0.982,0.991,0.501
Liverpool,34,1.589,1.139,1.0,1.059,0.45
FC Porto,96,1.583,0.724,1.06,0.792,0.859
Chelsea,150,1.579,1.333,0.832,0.905,0.246
Atlético Madrid,149,1.579,0.976,1.033,0.867,0.603
FC Ingolstadt 04,101,1.572,1.43,1.039,0.907,0.142
TSG Hoffenheim II U23,35,1.564,1.762,0.987,0.908,-0.198
Basel,35,1.563,1.361,0.786,0.903,0.202
F.C. Hansa Rostock,75,1.542,1.255,0.908,0.871,0.286
Sporting Braga,96,1.542,1.03,1.0,0.92,0.512
Milan,111,1.538,1.031,0.978,0.883,0.507
Brighton & Hove Albion,150,1.529,1.259,0.924,0.932,0.27
Arminia Bielefeld,90,1.526,1.148,0.823,0.9,0.378
Leeds United,148,1.521,1.094,0.946,0.994,0.427
FC Lausanne-Sport,35,1.52,1.347,0.846,1.082,0.174
BSC Young Boys,35,1.52,1.597,1.109,0.984,-0.076
Villarreal,148,1.51,1.199,1.047,0.935,0.31
Lille,138,1.508,1.057,0.913,0.884,0.451
Servette FC,35,1.506,1.157,1.138,1.259,0.349
Heart of Midlothian,35,1.503,1.046,1.026,0.792,0.458
Manchester United,150,1.501,1.392,0.866,0.853,0.109
Olympique Lyonnais,138,1.496,1.283,0.983,0.881,0.213
Cercle Brugge,104,1.491,1.405,0.793,0.91,0.087
Atalanta,149,1.49,1.011,1.049,0.922,0.479
SSV Jahn Regensburg,58,1.487,1.504,0.87,0.848,-0.018
SV Waldhof Mannheim,91,1.479,1.462,0.899,0.932,0.017
Beşiktaş JK,84,1.478,0.985,0.918,1.027,0.493
AC Milan,38,1.474,1.005,1.0,0.995,0.469
Eintracht Frankfurt,135,1.468,1.353,1.09,1.051,0.115
Rot-Weiss Essen,95,1.456,1.502,1.07,0.862,-0.046
SC Verl,93,1.443,1.177,1.17,1.087,0.267
Nice,138,1.442,1.164,0.809,0.903,0.278
Tottenham Hotspur,149,1.439,1.458,1.077,0.999,-0.019
Brentford,150,1.439,1.375,0.931,0.955,0.064
Borussia Dortmund II U23,70,1.436,1.606,0.925,0.818,-0.17
Juventus,150,1.435,0.851,0.948,0.885,0.584
FC Utrecht,98,1.434,1.298,1.068,0.92,0.136
Cesena,37,1.433,1.191,0.698,1.18,0.243
SSC Napoli,115,1.432,0.827,1.014,0.989,0.606
Stade Rennais,138,1.431,1.227,1.018,0.957,0.204
KVC Westerlo,110,1.427,1.615,0.892,0.907,-0.187
Göztepe,56,1.421,1.0,0.892,0.929,0.422
Go Ahead Eagles,98,1.42,1.537,1.042,0.863,-0.117
MSV Duisburg,54,1.42,1.419,1.03,0.979,0.0
Preußen Münster,58,1.416,1.57,0.889,0.922,-0.154
KV Mechelen,110,1.412,1.438,0.882,0.815,-0.027
Sint-Truidense VV,106,1.409,1.303,0.844,0.978,0.106
VfL Osnabrück,75,1.404,1.181,0.95,0.903,0.223
NEC Nijmegen,98,1.402,1.439,1.237,0.908,-0.037
FC Lugano,35,1.401,1.112,0.938,0.848,0.289
Middlesbrough,114,1.401,1.013,0.97,1.083,0.388
Palermo,38,1.398,1.047,0.96,0.729,0.351
KAA Gent,110,1.398,1.446,0.943,0.861,-0.047
Aston Villa,149,1.396,1.394,1.019,0.876,0.002
Bournemouth,150,1.393,1.394,0.895,0.961,-0.001
SSV Ulm 1846,51,1.383,1.387,0.964,1.131,-0.004
Norwich City,114,1.383,1.263,1.066,0.986,0.12
FC Groningen,66,1.377,1.347,0.815,0.956,0.029
SC Heerenveen,98,1.377,1.468,0.963,1.105,-0.091
FC Viktoria Köln,91,1.375,1.225,0.959,1.023,0.15
RSC Anderlecht,109,1.371,1.357,0.984,0.784,0.014
TSV 1860 München,92,1.369,1.295,0.897,0.965,0.074
Ipswich Town,115,1.363,1.251,1.027,1.043,0.112
TSG Hoffenheim,135,1.358,1.523,1.069,1.065,-0.165
Venezia,76,1.351,1.119,0.887,0.859,0.232
SV Wehen Wiesbaden,74,1.351,1.297,0.99,0.979,0.054
Hibernian,35,1.349,1.13,0.974,0.91,0.219
SV Sandhausen,54,1.349,1.669,1.016,0.999,-0.32
Motherwell,35,1.344,1.142,0.978,0.675,0.202
Hannover 96 II U23,37,1.335,1.608,0.871,1.076,-0.273
VfB Stuttgart II U21,74,1.332,1.606,0.913,0.901,-0.273
Excelsior,63,1.331,1.772,0.942,1.021,-0.442
RC Sporting Charleroi,109,1.323,1.197,0.818,0.881,0.126
1. FSV Mainz 05,134,1.321,1.417,0.955,0.964,-0.096
FC Schalke 04,66,1.317,1.284,0.805,1.05,0.033
Borussia M'gladbach,134,1.316,1.518,1.015,0.983,-0.202
1. FC Köln,100,1.315,1.515,0.814,1.016,-0.2
Como,73,1.312,0.925,1.023,1.022,0.387
FC Sion,35,1.311,1.168,0.98,0.783,0.143
Frosinone,76,1.31,1.387,1.044,0.882,-0.077
SC Freiburg,134,1.306,1.324,0.937,1.099,-0.019
RC Strasbourg,137,1.306,1.306,0.961,0.905,-0.0
Falkirk FC,35,1.302,1.194,0.878,1.149,0.108
Trabzonspor,83,1.294,1.21,1.173,0.826,0.084
Napoli,34,1.289,0.827,1.072,0.96,0.463
Stade de Reims,106,1.289,1.401,0.776,0.808,-0.112
Athletic Club,148,1.288,0.975,0.95,0.971,0.313
Southampton,152,1.287,1.503,0.966,1.05,-0.216
VfL Wolfsburg,135,1.286,1.424,1.019,1.03,-0.138
Crystal Palace,148,1.286,1.259,0.856,0.95,0.028
Modena,38,1.285,0.94,0.799,0.868,0.345
Catanzaro,38,1.281,1.164,1.151,0.927,0.117
Royal Antwerp FC,108,1.277,1.293,0.935,0.773,-0.016
Başakşehir FK,83,1.27,1.189,1.034,0.922,0.081
Alemannia Aachen,74,1.268,1.245,0.991,0.987,0.022
Girona FC,148,1.268,1.317,1.018,0.98,-0.049
Fiorentina,149,1.261,1.099,0.969,0.934,0.162
AS Roma,115,1.26,0.929,1.007,0.974,0.331
Sparta Rotterdam,98,1.259,1.417,0.908,0.943,-0.158
Çaykur Rizespor,83,1.258,1.2,0.814,1.064,0.058
VfL Bochum 1848,133,1.257,1.661,0.843,1.027,-0.405
SV Zulte Waregem,35,1.257,1.466,1.023,0.877,-0.209
Real Betis,149,1.252,1.216,0.954,0.856,0.036
Hertha BSC,66,1.242,1.556,0.903,0.935,-0.314
SpVgg Unterhaching,57,1.241,1.791,0.82,0.95,-0.551
SV Werder Bremen,134,1.237,1.47,1.013,1.031,-0.233
FC Zürich,35,1.234,1.737,0.949,0.971,-0.502
Sheffield United,114,1.233,1.332,0.861,1.04,-0.099
Roma,34,1.231,1.083,1.051,0.76,0.148
Toulouse,138,1.231,1.264,0.948,0.975,-0.033
Blackburn Rovers,116,1.229,1.202,0.863,1.004,0.027
Everton,149,1.227,1.398,0.788,0.84,-0.172
Erzgebirge Aue,89,1.225,1.525,1.027,0.987,-0.3
Birmingham City,76,1.222,1.233,0.904,1.078,-0.011
TSV Havelse,36,1.22,1.995,1.07,1.1,-0.774
Almería,76,1.22,1.497,0.939,1.134,-0.278
Pescara,37,1.218,1.654,1.065,0.931,-0.436
West Bromwich Albion,114,1.217,1.016,1.002,0.967,0.201
Kayserispor,84,1.217,1.384,0.822,0.972,-0.167
West Ham United,149,1.215,1.504,0.917,0.982,-0.289
Lazio,150,1.213,1.058,0.989,0.882,0.155
