league,bin,n,mean_npxg,mean_np_goals,mean_raw_xg,mean_raw_goals
__ALL__,0–0.5,3586,0.332,0.403,0.428,0.5
__ALL__,0.5–1,7932,0.753,0.791,0.859,0.9
__ALL__,1–1.5,7140,1.235,1.207,1.356,1.328
__ALL__,1.5–2,4645,1.726,1.617,1.85,1.738
__ALL__,2–2.5,2519,2.226,2.019,2.357,2.145
__ALL__,2.5–3,1201,2.712,2.368,2.845,2.496
__ALL__,3+,950,3.554,3.079,3.712,3.225
austria_bl,0–0.5,42,0.353,0.548,0.428,0.643
austria_bl,0.5–1,107,0.75,0.785,0.831,0.879
austria_bl,1–1.5,85,1.237,1.082,1.385,1.235
austria_bl,1.5–2,69,1.708,1.609,1.937,1.855
austria_bl,2–2.5,30,2.21,1.7,2.367,1.867
austria_bl,2.5–3,16,2.666,2.062,2.864,2.188
austria_bl,3+,9,3.261,2.333,3.436,2.556
bundesliga,0–0.5,243,0.333,0.407,0.47,0.531
bundesliga,0.5–1,633,0.753,0.79,0.86,0.896
bundesliga,1–1.5,619,1.232,1.328,1.374,1.473
bundesliga,1.5–2,440,1.725,1.823,1.823,1.916
bundesliga,2–2.5,240,2.239,2.212,2.39,2.362
bundesliga,2.5–3,132,2.73,2.447,2.921,2.636
bundesliga,3+,114,3.629,3.333,3.801,3.465
bundesliga2,0–0.5,47,0.347,0.34,0.498,0.532
bundesliga2,0.5–1,153,0.757,0.725,0.907,0.895
bundesliga2,1–1.5,157,1.252,1.217,1.367,1.312
bundesliga2,1.5–2,113,1.734,1.619,1.845,1.717
bundesliga2,2–2.5,57,2.205,1.93,2.357,2.053
bundesliga2,2.5–3,29,2.724,2.552,2.833,2.69
bundesliga2,3+,24,3.511,2.708,3.577,2.75
championship,0–0.5,400,0.332,0.432,0.39,0.49
championship,0.5–1,839,0.752,0.853,0.803,0.902
championship,1–1.5,690,1.244,1.217,1.303,1.271
championship,1.5–2,423,1.714,1.603,1.777,1.662
championship,2–2.5,240,2.22,1.979,2.318,2.075
championship,2.5–3,87,2.707,2.195,2.789,2.276
championship,3+,61,3.431,2.902,3.534,2.967
epl,0–0.5,340,0.339,0.409,0.409,0.474
epl,0.5–1,773,0.765,0.801,0.858,0.895
epl,1–1.5,745,1.236,1.211,1.339,1.323
epl,1.5–2,521,1.721,1.585,1.814,1.681
epl,2–2.5,335,2.235,2.021,2.35,2.149
epl,2.5–3,146,2.701,2.329,2.825,2.459
epl,3+,128,3.522,3.133,3.639,3.25
eredivisie,0–0.5,199,0.327,0.392,0.422,0.497
eredivisie,0.5–1,425,0.757,0.819,0.822,0.896
eredivisie,1–1.5,435,1.238,1.26,1.341,1.366
eredivisie,1.5–2,309,1.724,1.712,1.823,1.819
eredivisie,2–2.5,175,2.222,2.131,2.303,2.229
eredivisie,2.5–3,125,2.702,2.424,2.828,2.528
eredivisie,3+,95,3.643,3.421,3.776,3.547
greek_sl,0–0.5,13,0.279,0.308,0.339,0.385
greek_sl,0.5–1,20,0.773,0.5,0.813,0.55
greek_sl,1–1.5,9,1.211,1.556,1.299,1.667
greek_sl,1.5–2,7,1.73,2.0,1.73,2.0
greek_sl,2–2.5,7,2.216,1.571,2.328,1.714
jupiler_pro,0–0.5,190,0.336,0.311,0.414,0.389
jupiler_pro,0.5–1,445,0.762,0.737,0.884,0.849
jupiler_pro,1–1.5,464,1.231,1.065,1.372,1.205
jupiler_pro,1.5–2,308,1.731,1.555,1.905,1.727
jupiler_pro,2–2.5,178,2.223,1.876,2.347,1.994
jupiler_pro,2.5–3,70,2.718,2.3,2.797,2.386
jupiler_pro,3+,73,3.49,2.973,3.663,3.123
la_liga,0–0.5,430,0.325,0.435,0.429,0.551
la_liga,0.5–1,938,0.747,0.749,0.871,0.87
la_liga,1–1.5,724,1.223,1.153,1.354,1.278
la_liga,1.5–2,478,1.736,1.513,1.881,1.653
la_liga,2–2.5,237,2.231,2.127,2.345,2.245
la_liga,2.5–3,99,2.716,2.313,2.868,2.434
la_liga,3+,69,3.727,3.435,3.898,3.58
liga3,0–0.5,141,0.346,0.532,0.443,0.638
liga3,0.5–1,460,0.76,0.854,0.838,0.939
liga3,1–1.5,532,1.24,1.288,1.345,1.393
liga3,1.5–2,372,1.733,1.578,1.837,1.691
liga3,2–2.5,199,2.225,1.844,2.339,1.955
liga3,2.5–3,107,2.705,2.318,2.805,2.383
liga3,3+,76,3.464,2.513,3.624,2.671
ligue_1,0–0.5,299,0.335,0.418,0.454,0.532
ligue_1,0.5–1,717,0.756,0.774,0.906,0.927
ligue_1,1–1.5,687,1.232,1.14,1.368,1.278
ligue_1,1.5–2,419,1.724,1.544,1.882,1.692
ligue_1,2–2.5,222,2.217,1.995,2.388,2.162
ligue_1,2.5–3,110,2.721,2.391,2.836,2.5
ligue_1,3+,106,3.569,3.047,3.733,3.226
primeira_liga,0–0.5,336,0.309,0.31,0.42,0.411
primeira_liga,0.5–1,505,0.75,0.828,0.897,0.978
primeira_liga,1–1.5,422,1.241,1.171,1.404,1.336
primeira_liga,1.5–2,235,1.735,1.749,1.926,1.945
primeira_liga,2–2.5,126,2.235,2.222,2.367,2.31
primeira_liga,2.5–3,69,2.724,2.609,2.872,2.754
primeira_liga,3+,46,3.542,3.0,3.799,3.261
scottish_prem,0–0.5,60,0.333,0.317,0.359,0.35
scottish_prem,0.5–1,111,0.737,0.883,0.83,0.964
scottish_prem,1–1.5,109,1.231,1.147,1.405,1.321
scottish_prem,1.5–2,65,1.72,1.677,1.829,1.785
scottish_prem,2–2.5,42,2.195,1.595,2.326,1.762
scottish_prem,2.5–3,12,2.745,2.333,2.811,2.417
scottish_prem,3+,21,3.571,2.905,3.759,3.095
serie_a,0–0.5,469,0.338,0.394,0.439,0.495
serie_a,0.5–1,1005,0.747,0.775,0.854,0.887
serie_a,1–1.5,731,1.238,1.201,1.355,1.32
serie_a,1.5–2,421,1.725,1.601,1.854,1.705
serie_a,2–2.5,218,2.219,2.032,2.357,2.151
serie_a,2.5–3,99,2.705,2.283,2.848,2.444
serie_a,3+,45,3.473,2.956,3.648,3.133
serie_b,0–0.5,103,0.334,0.427,0.419,0.515
serie_b,0.5–1,220,0.731,0.805,0.817,0.905
serie_b,1–1.5,222,1.218,1.144,1.349,1.279
serie_b,1.5–2,114,1.717,1.561,1.807,1.649
serie_b,2–2.5,61,2.242,1.77,2.423,1.902
serie_b,2.5–3,19,2.701,2.474,2.826,2.579
serie_b,3+,19,3.537,2.842,3.703,3.053
super_lig,0–0.5,245,0.328,0.42,0.444,0.531
super_lig,0.5–1,478,0.75,0.734,0.869,0.86
super_lig,1–1.5,388,1.239,1.284,1.369,1.412
super_lig,1.5–2,264,1.726,1.61,1.884,1.773
super_lig,2–2.5,112,2.212,2.071,2.417,2.214
super_lig,2.5–3,57,2.721,2.368,2.9,2.596
super_lig,3+,48,3.519,3.042,3.667,3.167
swiss_sl,0–0.5,29,0.379,0.448,0.487,0.552
swiss_sl,0.5–1,103,0.77,0.825,0.961,1.01
swiss_sl,1–1.5,121,1.23,1.331,1.386,1.479
swiss_sl,1.5–2,87,1.734,1.575,1.879,1.69
swiss_sl,2–2.5,40,2.23,1.975,2.466,2.225
swiss_sl,2.5–3,24,2.693,2.625,2.923,2.833
swiss_sl,3+,16,3.672,3.5,4.017,3.75
