game_id,league,season,is_home,np_xg,raw_xg,pen_xg,np_goals,raw_goals,pen_taken,pen_goals,team
14065564,austria_bl,25/26,0,0.31,0.31,0.0,2,2,0,0,TSV Hartberg
14065564,austria_bl,25/26,1,1.341,2.129,0.788,3,4,1,1,WSG Tirol
14065565,austria_bl,25/26,0,1.064,1.064,0.0,2,2,0,0,SCR Altach
14065565,austria_bl,25/26,1,0.548,0.548,0.0,0,0,0,0,Wolfsberger AC
14065566,austria_bl,25/26,0,2.01,2.798,0.788,1,2,1,1,SK Sturm Graz
14065566,austria_bl,25/26,1,0.881,0.881,0.0,0,0,0,0,LASK
14065567,austria_bl,25/26,0,0.458,0.458,0.0,0,0,0,0,FC Blau Weiss Linz
14065567,austria_bl,25/26,1,1.391,1.391,0.0,1,1,0,0,SK Rapid Wien
14065568,austria_bl,25/26,0,1.516,1.516,0.0,2,2,0,0,FK Austria Wien
14065568,austria_bl,25/26,1,0.943,0.943,0.0,2,2,0,0,Grazer AK 1902
14065569,austria_bl,25/26,0,0.851,0.851,0.0,2,2,0,0,Red Bull Salzburg
14065569,austria_bl,25/26,1,2.549,2.549,0.0,1,1,0,0,TSV Hartberg
14065570,austria_bl,25/26,0,1.691,1.691,0.0,1,1,0,0,TSV Hartberg
14065570,austria_bl,25/26,1,0.121,0.121,0.0,0,0,0,0,FC Blau Weiss Linz
14065571,austria_bl,25/26,0,1.901,1.901,0.0,0,0,0,0,FK Austria Wien
14065571,austria_bl,25/26,1,1.647,2.436,0.788,1,2,1,1,LASK
14065572,austria_bl,25/26,0,0.518,0.518,0.0,0,0,0,0,SV Ried
14065572,austria_bl,25/26,1,0.983,0.983,0.0,1,1,0,0,SCR Altach
14065573,austria_bl,25/26,0,0.712,0.712,0.0,0,0,0,0,SCR Altach
14065573,austria_bl,25/26,1,1.052,1.84,0.788,0,0,1,0,SK Rapid Wien
14065574,austria_bl,25/26,0,1.594,1.594,0.0,3,3,0,0,SK Sturm Graz
14065574,austria_bl,25/26,1,2.12,2.12,0.0,1,1,0,0,SV Ried
14065575,austria_bl,25/26,0,0.586,0.586,0.0,0,0,0,0,Grazer AK 1902
14065575,austria_bl,25/26,1,3.02,3.809,0.788,4,5,1,1,Red Bull Salzburg
14065576,austria_bl,25/26,0,0.444,0.444,0.0,1,1,0,0,LASK
14065576,austria_bl,25/26,1,1.796,3.373,1.577,2,3,2,1,WSG Tirol
14065577,austria_bl,25/26,0,0.545,0.545,0.0,0,0,0,0,LASK
14065577,austria_bl,25/26,1,2.79,2.79,0.0,3,3,0,0,Red Bull Salzburg
14065579,austria_bl,25/26,0,0.715,0.715,0.0,0,0,0,0,WSG Tirol
14065579,austria_bl,25/26,1,1.471,1.471,0.0,1,1,0,0,Grazer AK 1902
14065580,austria_bl,25/26,0,1.968,1.968,0.0,2,2,0,0,SK Rapid Wien
14065580,austria_bl,25/26,1,2.15,2.15,0.0,1,1,0,0,SK Sturm Graz
14065581,austria_bl,25/26,0,1.485,1.485,0.0,1,1,0,0,Wolfsberger AC
14065581,austria_bl,25/26,1,0.77,0.77,0.0,0,0,0,0,FK Austria Wien
14065582,austria_bl,25/26,0,1.097,1.097,0.0,1,1,0,0,Grazer AK 1902
14065582,austria_bl,25/26,1,0.805,0.805,0.0,1,1,0,0,SCR Altach
14065583,austria_bl,25/26,0,0.275,0.275,0.0,0,0,0,0,FC Blau Weiss Linz
14065583,austria_bl,25/26,1,1.53,2.318,0.788,2,3,1,1,Wolfsberger AC
14065584,austria_bl,25/26,0,1.606,1.606,0.0,3,3,0,0,TSV Hartberg
14065584,austria_bl,25/26,1,1.182,1.182,0.0,0,0,0,0,FK Austria Wien
14065585,austria_bl,25/26,0,1.237,1.237,0.0,2,2,0,0,SK Rapid Wien
14065585,austria_bl,25/26,1,0.6,1.388,0.788,0,1,1,1,Wolfsberger AC
14065586,austria_bl,25/26,0,1.34,1.34,0.0,2,2,0,0,FC Blau Weiss Linz
14065586,austria_bl,25/26,1,1.69,2.479,0.788,1,2,1,1,Red Bull Salzburg
14065587,austria_bl,25/26,0,1.578,2.367,0.788,2,3,1,1,SV Ried
14065587,austria_bl,25/26,1,2.096,2.096,0.0,1,1,0,0,LASK
14065588,austria_bl,25/26,0,1.711,1.711,0.0,2,2,0,0,SV Ried
14065588,austria_bl,25/26,1,0.852,0.852,0.0,0,0,0,0,FC Blau Weiss Linz
14065589,austria_bl,25/26,0,2.149,2.149,0.0,3,3,0,0,SK Sturm Graz
14065589,austria_bl,25/26,1,0.926,0.926,0.0,0,0,0,0,Grazer AK 1902
14065590,austria_bl,25/26,0,1.997,1.997,0.0,1,1,0,0,SK Rapid Wien
14065590,austria_bl,25/26,1,0.47,0.47,0.0,0,0,0,0,TSV Hartberg
14065591,austria_bl,25/26,0,0.222,0.222,0.0,0,0,0,0,SCR Altach
14065591,austria_bl,25/26,1,0.454,0.454,0.0,1,1,0,0,FK Austria Wien
14065592,austria_bl,25/26,0,0.799,0.799,0.0,1,1,0,0,Wolfsberger AC
14065592,austria_bl,25/26,1,0.811,0.811,0.0,1,1,0,0,WSG Tirol
14065593,austria_bl,25/26,0,0.607,0.607,0.0,1,1,0,0,FK Austria Wien
14065593,austria_bl,25/26,1,0.86,0.86,0.0,0,0,0,0,SK Sturm Graz
14065594,austria_bl,25/26,0,0.347,0.347,0.0,1,1,0,0,WSG Tirol
14065594,austria_bl,25/26,1,2.422,2.422,0.0,4,4,0,0,SK Rapid Wien
